z,vz,Rcyl,phi,vRcyl,vphi,age,mass,feh,oh,ch,mgh,ofe,cfe,mgfe,IsMigratorInt
-0.289,-1.823,9.18,222.621,-0.101,169.813,1.801,8268.869,0.01,0.48,0.345,0.258,0.47,0.335,0.249,1
0.126,-15.313,2.299,88.892,31.443,241.353,0.876,5797.957,0.211,0.673,0.606,0.416,0.462,0.394,0.205,0
-0.048,-72.92,0.203,18.909,161.321,93.853,2.77,5445.233,0.191,0.641,0.572,0.395,0.45,0.381,0.205,0
0.1,42.781,8.103,329.385,-59.653,227.869,0.456,5253.989,-0.139,0.325,0.219,0.087,0.464,0.358,0.225,1
-0.482,-441.896,0.252,75.303,-26.522,-303.925,7.175,5021.613,-0.392,0.059,-0.119,-0.106,0.451,0.273,0.286,0
-0.043,14.293,0.676,284.672,34.87,-4.352,6.404,7814.632,-0.154,0.291,0.155,0.114,0.445,0.308,0.268,0
-0.328,37.388,2.48,249.913,-193.626,93.998,3.108,6061.184,0.128,0.579,0.487,0.346,0.451,0.359,0.218,0
-0.305,118.77,1.597,280.199,-169.416,239.791,1.934,5824.016,0.089,0.555,0.446,0.32,0.466,0.357,0.232,0
-0.258,58.713,2.5,144.24,-148.608,241.76,5.193,5248.75,-0.056,0.384,0.258,0.19,0.44,0.314,0.247,0
0.386,-89.91,4.222,174.546,39.529,279.277,2.769,7157.203,-0.08,0.378,0.241,0.167,0.459,0.322,0.248,1
0.281,89.394,1.647,266.734,103.707,-45.022,10.404,4596.906,-0.854,-0.356,-0.608,-0.523,0.498,0.246,0.331,0
-0.201,-105.29,1.182,250.507,-172.274,133.277,4.567,6331.267,0.078,0.532,0.421,0.315,0.454,0.343,0.237,0
0.04,53.646,0.376,143.813,-173.901,118.857,7.25,5355.356,-0.311,0.14,-0.011,-0.026,0.452,0.3,0.285,0
0.374,-112.648,1.692,85.306,150.1,210.277,6.441,5632.01,-0.315,0.119,-0.031,-0.05,0.434,0.284,0.265,0
-0.143,-26.17,0.519,42.101,-321.278,30.344,8.397,4708.648,-0.506,-0.057,-0.216,-0.218,0.449,0.29,0.288,0
-0.055,-7.502,5.203,305.113,-64.026,192.754,1.319,4947.152,0.119,0.586,0.489,0.344,0.468,0.37,0.225,1
0.237,-248.422,0.095,101.703,-111.149,-78.367,5.667,6139.283,-0.082,0.384,0.257,0.192,0.466,0.339,0.274,0
0.37,15.586,9.184,82.637,-72.295,268.831,1.577,8086.546,-0.03,0.438,0.312,0.215,0.468,0.342,0.245,0
0.095,-34.102,4.093,87.486,-37.077,227.606,3.826,5660.176,0.085,0.522,0.427,0.3,0.437,0.342,0.215,0
-0.428,97.86,1.325,12.801,-269.112,94.611,8.177,4816.173,-0.511,-0.034,-0.27,-0.199,0.477,0.241,0.312,0
0.292,-20.502,5.869,330.256,18.183,201.313,4.711,6685.447,-0.072,0.381,0.239,0.184,0.453,0.311,0.256,1
-0.001,9.58,4.244,239.363,-142.315,181.278,8.867,4889.131,-0.558,-0.07,-0.289,-0.232,0.488,0.269,0.326,0
-0.254,-70.472,2.882,195.944,70.777,260.927,1.561,8306.814,0.147,0.619,0.524,0.374,0.472,0.377,0.228,0
0.128,6.396,4.991,313.563,54.821,138.789,1.585,11533.438,0.155,0.62,0.537,0.373,0.466,0.383,0.218,1
0.223,-9.61,0.645,159.81,156.426,113.632,6.183,5301.828,-0.303,0.151,-0.02,-0.024,0.454,0.283,0.28,0
0.05,-125.749,2.8,101.203,140.53,172.677,3.21,6366.101,0.066,0.518,0.41,0.294,0.452,0.344,0.228,0
0.003,-23.489,3.939,324.176,50.559,250.633,11.486,4519.289,-1.305,-0.747,-1.042,-0.92,0.558,0.263,0.385,0
0.36,-170.862,1.568,76.225,-81.291,138.018,7.99,5218.199,-0.398,0.082,-0.099,-0.079,0.48,0.298,0.318,0
0.133,70.465,1.43,148.578,-119.838,116.329,3.273,5314.071,0.128,0.582,0.496,0.348,0.455,0.368,0.22,0
0.458,-12.637,2.477,278.498,25.138,335.28,4.685,4476.925,-0.159,0.294,0.138,0.104,0.452,0.296,0.263,1
-0.421,-110.681,1.661,334.925,-234.113,60.479,8.506,4934.465,-0.625,-0.172,-0.388,-0.336,0.453,0.237,0.289,0
-0.056,160.638,0.534,64.333,108.04,-152.356,9.233,5166.152,-0.65,-0.171,-0.391,-0.333,0.479,0.259,0.317,0
-0.137,67.419,0.46,167.609,-135.888,245.355,6.611,5629.326,-0.258,0.182,0.02,0.013,0.44,0.278,0.271,0
-0.273,38.035,8.455,119.68,-46.127,175.934,4.694,6511.411,-0.087,0.36,0.218,0.165,0.447,0.306,0.252,0
0.103,16.424,0.737,194.468,-35.031,340.998,4.913,4732.237,-0.013,0.438,0.296,0.239,0.451,0.309,0.253,0
0.235,-59.732,0.893,240.562,143.602,228.702,5.521,4787.133,-0.089,0.368,0.211,0.182,0.457,0.3,0.27,0
-0.187,33.379,1.309,215.426,-260.188,213.407,7.4,5257.657,-0.315,0.127,-0.028,-0.036,0.442,0.287,0.278,0
0.202,-36.303,0.381,105.61,-331.099,216.831,2.801,10596.89,0.128,0.59,0.49,0.356,0.463,0.362,0.229,0
-0.033,-24.505,2.414,223.391,-98.184,268.292,2.854,5345.801,0.052,0.512,0.398,0.287,0.46,0.346,0.235,0
0.136,-34.066,4.308,138.051,5.538,333.01,0.393,9827.883,0.088,0.563,0.463,0.319,0.475,0.375,0.231,1
-0.011,5.628,0.316,268.782,-89.074,118.342,1.766,6259.593,0.27,0.71,0.653,0.45,0.44,0.383,0.179,0
-0.176,37.582,4.5,278.6,-189.301,193.438,2.054,8582.296,0.075,0.54,0.424,0.31,0.465,0.349,0.235,1
-0.143,34.942,0.939,309.95,281.174,12.184,8.014,4750.36,-0.426,-0.092,-0.243,-0.253,0.334,0.183,0.173,0
-0.358,148.909,1.652,322.562,197.096,17.08,9.267,5549.397,-0.407,0.045,-0.205,-0.119,0.452,0.202,0.288,0
-0.068,-12.697,1.88,359.075,-297.998,188.787,7.503,5270.82,-0.372,0.069,-0.074,-0.093,0.441,0.298,0.279,1
-0.197,-63.851,2.076,207.807,-65.38,310.709,6.34,5866.369,-0.239,0.184,0.031,0.012,0.422,0.27,0.25,0
0.087,34.198,8.432,275.981,110.734,123.353,2.695,9851.058,0.027,0.482,0.364,0.26,0.455,0.337,0.233,0
-0.47,18.57,1.979,249.554,-10.009,157.047,5.585,4833.92,-0.138,0.303,0.148,0.121,0.441,0.286,0.259,0
0.028,20.489,6.226,212.259,48.251,278.612,0.117,6752.648,0.141,0.614,0.539,0.36,0.473,0.398,0.218,1
